title,release_year,title_and_year,getIMDBNumber,imdb_lookup,duration_minutes,toots,tpm,watched_date,is_double_feature,getRated,rated,getGenre,genre,getDirector,director,getActors,actors,getAwards,awards,getMetascore,metascore,getIMDBScore,imdb_score,getRealBoxOffice,real_box_office,attendees,event_toots,unique_servers,total_favorites,total_boosts,total_replies,engagement_score
Rebirth of Mothra II,1997,Rebirth of Mothra II (1997),,tt0133104,97,138,1.422680412,2022-08-04 21:00:00,FALSE,,UR,,"Action, Fantasy, Sci-Fi",,Kunio Miyoshi,,"Megumi Kobayashi, Sayaka Yamaguchi, Aki Hano",,0,,-1,,5.1,,-1,6,56,6,4,30,10,0.3505154639
Rebirth of Mothra,1996,Rebirth of Mothra (1996),,tt0117089,104,122,1.173076923,2022-07-28 21:00:00,FALSE,,UR,,"Action, Adventure, Family",,Okihiro Yoneda,,"Megumi Kobayashi, Sayaka Yamaguchi, Aki Hano",,0,,-1,,5.8,,-1,5,36,5,1,24,9,0.3164556962
Godzilla 1985,1985,Godzilla 1985 (1985),,tt0087344,87,127,1.459770115,2022-07-21 21:00:00,FALSE,,PG,,"Drama, Sci-Fi, Thriller",,"Kôji Hashimoto, R.J. Kizer, Ishirô Honda",,"Raymond Burr, Keiju Kobayashi, Ken Tanaka",,2.03,,31,,6.1,,12643759.74,4,37,4,0,25,13,0.3048780488
Godzilla vs. Mechagodzilla II,1993,Godzilla vs. Mechagodzilla II (1993),,tt0107027,108,201,1.861111111,2022-07-14 21:00:00,FALSE,,PG,,"Action, Adventure, Drama",,"Takao Okawara, Kazuki Ômori",,"Masahiro Takashima, Ryoko Sano, Megumi Odaka",,0.02,,-1,,6.5,,-1,7,69,6,2,49,15,0.3777777778
Godzilla vs. Hedorah,1971,Godzilla vs. Hedorah (1971),,tt0067148,85,126,1.482352941,2022-07-07 21:00:00,FALSE,,PG,,"Animation, Drama, Family",,"Yoshimitsu Banno, Ishirô Honda",,"Akira Yamanouchi, Toshie Kimura, Hiroyuki Kawase",,0,,-1,,6.1,,-1,7,45,7,5,43,10,0.5614035088
Terror of Mechagodzilla,1975,Terror of Mechagodzilla (1975),,tt0073373,83,80,0.9638554217,2022-06-30 21:00:00,FALSE,,G,,"Action, Adventure, Family",,"Ishirô Honda, Jun Fukuda",,"Katsuhiko Sasaki, Tomoko Ai, Akihiko Hirata",,0.01,,-1,,6.1,,-1,3,12,3,0,13,4,0.2826086957
Godzilla vs. Biollante,1989,Godzilla vs. Biollante (1989),,tt0097444,105,93,0.8857142857,2022-06-23 21:00:00,FALSE,,PG,,"Action, Drama, Fantasy",,"Kazuki Ômori, Kôji Hashimoto, Kenjirô Ohmori",,"Kunihiko Mitamura, Yoshiko Tanaka, Masanobu Takashima",,2,,-1,,6.5,,-1,4,30,4,0,22,13,0.3577235772
Godzilla vs. Megalon,1973,Godzilla vs. Megalon (1973),,tt0070122,82,157,1.914634146,2022-06-16 21:00:00,FALSE,,G,,"Action, Adventure, Family",,"Jun Fukuda, Yoshimitsu Banno, Ishirô Honda",,"Katsuhiko Sasaki, Hiroyuki Kawase, Yutaka Hayashi",,0,,-1,,4.8,,-1,5,27,5,0,18,4,0.1956521739
Godzilla: Planet of the Monsters,2017,Godzilla: Planet of the Monsters (2017),,tt5979874,89,88,0.9887640449,2022-06-09 21:00:00,FALSE,,TV-14,,"Animation, Action, Sci-Fi",,"Hiroyuki Seshita, Kôbun Shizuno",,"Mamoru Miyano, Takahiro Sakurai, Kana Hanazawa",,0,,-1,,6,,-1,4,20,4,0,13,5,0.2407407407
King Kong vs. Godzilla,1963,King Kong vs. Godzilla (1963),,tt0056142,96,103,1.072916667,2022-06-02 21:00:00,FALSE,,Approved,,"Action, Adventure, Comedy",,"Ishirô Honda, Tom Montgomery",,"Tadao Takashima, Kenji Sahara, Yû Fujiki",,0,,40,,5.7,,-1,5,47,5,0,17,3,0.2266666667
Godzilla,1954,Godzilla (1954),,tt0047034,96,86,0.8958333333,2022-05-26 21:00:00,FALSE,,NR,,"Horror, Sci-Fi",,Ishirô Honda,,"Takashi Shimura, Akihiko Hirata, Akira Takarada",,4.02,,79,,7.6,,6913605.41,8,33,6,1,20,5,0.3529411765
Godzilla vs. SpaceGodzilla,1994,Godzilla vs. SpaceGodzilla (1994),,tt0109916,108,132,1.222222222,2022-05-19 21:00:00,FALSE,,NR,,"Action, Adventure, Sci-Fi",,"Kenshô Yamashita, Takao Okawara, Kazuki Ômori",,"Jun Hashizume, Megumi Odaka, Zenkichi Yoneyama",,0.01,,-1,,5.8,,-1,4,51,4,0,27,4,0.2950819672
Godzilla: Final Wars,2004,Godzilla: Final Wars (2004),,tt0399102,125,164,1.312,2022-05-12 21:00:00,FALSE,,PG-13,,"Action, Adventure, Fantasy",,"Ryûhei Kitamura, Kôji Hashimoto, Shûsuke Kaneko",,"Masahiro Matsuoka, Rei Kikukawa, Don Frye",,0.03,,-1,,6.3,,-1,6,39,5,1,54,5,0.5418719212
Godzilla Against MechaGodzilla,2002,Godzilla Against MechaGodzilla (2002),,tt0314111,88,177,2.011363636,2022-05-05 21:00:00,FALSE,,NR,,"Action, Sci-Fi, Thriller",,"Masaaki Tezuka, Kazuki Ômori",,"Yumiko Shaku, Shin Takuma, Kana Onodera",,0,,-1,,6.6,,-1,5,42,5,0,23,13,0.2100456621
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",2001,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack (2001)",,tt0279112,105,104,0.9904761905,2022-04-28 21:00:00,FALSE,,NR,,"Action, Adventure, Drama",,Shûsuke Kaneko,,"Chiharu Niiyama, Ryûdô Uzaki, Masahiro Kobayashi",,0.01,,-1,,7,,-1,4,38,4,0,28,11,0.3943661972
Godzilla vs. Destoroyah,1995,Godzilla vs. Destoroyah (1995),,tt0113187,103,137,1.330097087,2022-04-21 21:00:00,FALSE,,UR,,"Action, Drama, Horror",,"Takao Okawara, Ishirô Honda, Kôji Hashimoto",,"Takurô Tatsumi, Yôko Ishino, Yasufumi Hayashi",,0.03,,-1,,6.9,,-1,4,45,3,0,46,10,0.5054945055
Godzilla vs. King Ghidorah,1991,Godzilla vs. King Ghidorah (1991),,tt0101962,103,68,0.6601941748,2022-04-14 21:00:00,FALSE,,NR,,"Action, Adventure, Drama",,"Kazuki Ômori, Kôji Hashimoto",,"Kôsuke Toyohara, Anna Nakagawa, Megumi Odaka",,1.01,,-1,,6.5,,-1,4,17,4,0,16,2,0.3764705882
Godzilla vs. Mothra,1992,Godzilla vs. Mothra (1992),,tt0104352,102,135,1.323529412,2022-04-07 21:00:00,FALSE,,NR,,"Adventure, Fantasy, Sci-Fi",,Takao Okawara,,"Tetsuya Bessho, Satomi Kobayashi, Takehiro Murata",,1.03,,-1,,6.2,,-1,5,48,5,1,10,7,0.1202185792
Mothra vs. Godzilla,1964,Mothra vs. Godzilla (1964),,tt0058379,89,124,1.393258427,2022-03-31 21:00:00,FALSE,,NR,,"Adventure, Fantasy, Sci-Fi",,Ishirô Honda,,"Akira Takarada, Yuriko Hoshi, Hiroshi Koizumi",,0.01,,-1,,6.5,,-1,7,25,7,0,14,8,0.1879194631
Mothra,1961,Mothra (1961),,tt0055198,101,119,1.178217822,2022-03-24 21:00:00,FALSE,,Approved,,"Adventure, Fantasy, Sci-Fi",,Ishirô Honda,,"Furankî Sakai, Hiroshi Koizumi, Kyôko Kagawa",,0.02,,-1,,6.6,,-1,5,29,4,0,16,11,0.2162162162
